trip_id,route_id,stop_id,stop_name,sequence,scheduled_arrival_min,actual_arrival_min,passengers_boarding,passengers_alighting,passenger_load,bus_capacity,expected_dwell_sec,dwell_time_sec,dwell_excess_sec,issue_wait_sec,traffic_delay_sec,added_delay_sec,cumulative_delay_sec,delay_cause,is_peak
T011,B12,S02,Market Street,2,6,7.2,16,5,16,60,47.4,50,2.6,3,42,45,71,schedule_gap,False
T011,B12,S03,Central Hospital,3,12,14.5,24,4,36,60,58.6,101,42.4,43,34,77,148,schedule_gap,False
T011,B12,S04,University Gate,4,18,20.9,8,3,41,60,36.2,47,10.8,11,13,24,172,schedule_gap,False
T011,B12,S05,Civic Center,5,24,27.3,8,10,39,60,36.2,50,13.8,14,12,26,198,schedule_gap,False
T012,B12,S01,North Station,1,0,0.5,11,5,6,60,40.4,40,0.0,0,31,31,31,boarding,False
T012,B12,S02,Market Street,2,6,7.1,15,7,14,60,46.0,51,5.0,5,28,33,64,schedule_gap,False
T012,B12,S03,Central Hospital,3,12,13.5,22,5,31,60,55.8,63,7.2,8,19,27,91,schedule_gap,False
T012,B12,S04,University Gate,4,18,20.3,18,4,45,60,50.2,64,13.8,14,34,48,139,boarding,False
T012,B12,S05,Civic Center,5,24,27.4,9,8,46,60,37.6,78,40.4,41,26,67,206,schedule_gap,False
T013,B12,S01,North Station,1,0,0.2,0,2,0,60,25.0,25,0.0,0,11,11,11,schedule_gap,False
T013,B12,S02,Market Street,2,6,6.6,10,8,2,60,39.0,63,24.0,24,0,24,35,boarding,False
T013,B12,S03,Central Hospital,3,12,13.9,22,7,17,60,55.8,105,49.2,50,27,77,112,schedule_gap,False
T013,B12,S04,University Gate,4,18,21.1,13,8,22,60,43.2,81,37.8,38,37,75,187,schedule_gap,False
T013,B12,S05,Civic Center,5,24,27.5,17,7,32,60,48.8,56,7.2,8,13,21,208,schedule_gap,False
T014,B12,S01,North Station,1,0,0.2,3,8,0,60,29.2,44,14.8,15,0,15,15,schedule_gap,False
T014,B12,S02,Market Street,2,6,7.4,13,8,5,60,43.2,82,38.8,39,30,69,84,schedule_gap,False
T014,B12,S03,Central Hospital,3,12,13.8,23,9,19,60,57.2,62,4.8,5,17,22,106,schedule_gap,False
T014,B12,S04,University Gate,4,18,20.5,18,7,30,60,50.2,68,17.8,18,25,43,149,schedule_gap,False
T014,B12,S05,Civic Center,5,24,26.6,13,7,36,60,43.2,43,0.0,0,5,5,154,schedule_gap,False
T015,B12,S01,North Station,1,0,1.3,0,2,0,60,25.0,67,42.0,42,36,78,78,schedule_gap,False
T015,B12,S02,Market Street,2,6,8.2,17,4,13,60,48.8,79,30.2,31,23,54,132,boarding,False
T015,B12,S03,Central Hospital,3,12,14.5,19,8,24,60,51.6,57,5.4,6,14,20,152,traffic,False
T015,B12,S04,University Gate,4,18,22.5,17,10,31,60,48.8,150,101.2,102,15,117,269,traffic,False
T015,B12,S05,Civic Center,5,24,28.5,8,4,35,60,36.2,36,0.0,0,4,4,273,schedule_gap,False
T016,B12,S01,North Station,1,0,0.6,6,2,4,60,33.4,33,0.0,0,36,36,36,boarding,False
T016,B12,S02,Market Street,2,6,6.9,12,6,10,60,41.8,41,0.0,0,21,21,57,schedule_gap,False
T016,B12,S03,Central Hospital,3,12,14.2,24,7,27,60,58.6,124,65.4,66,8,74,131,boarding,False
T016,B12,S04,University Gate,4,18,20.6,15,5,37,60,46.0,57,11.0,11,14,25,156,schedule_gap,False
T016,B12,S05,Civic Center,5,24,26.6,5,9,33,60,32.0,32,0.0,0,3,3,159,boarding,False
T017,B12,S01,North Station,1,0,0.9,9,6,3,60,37.6,92,54.4,55,2,57,57,traffic,False
T017,B12,S02,Market Street,2,6,7.1,18,6,15,60,50.2,50,0.0,0,6,6,63,boarding,False
T017,B12,S03,Central Hospital,3,12,14.1,22,3,34,60,55.8,99,43.2,44,22,66,129,traffic,False
T017,B12,S04,University Gate,4,18,20.7,18,9,43,60,50.2,73,22.8,23,11,34,163,boarding,False
T017,B12,S05,Civic Center,5,24,26.7,8,7,44,60,36.2,36,0.0,0,1,1,164,traffic,False
T018,B12,S01,North Station,1,0,0.1,7,3,4,60,34.8,37,2.2,3,0,3,3,boarding,False
T018,B12,S02,Market Street,2,6,6.9,11,5,10,60,40.4,79,38.6,39,11,50,53,boarding,False
T018,B12,S03,Central Hospital,3,12,13.2,22,9,23,60,55.8,55,0.0,0,20,20,73,boarding,False
T018,B12,S04,University Gate,4,18,20.2,23,6,40,60,57.2,109,51.8,52,7,59,132,schedule_gap,False
T018,B12,S05,Civic Center,5,24,26.5,9,5,44,60,37.6,54,16.4,17,1,18,150,schedule_gap,False
T019,B12,S01,North Station,1,0,0.4,7,1,6,60,34.8,35,0.2,1,24,25,25,schedule_gap,False
T019,B12,S02,Market Street,2,6,6.6,14,2,18,60,44.6,44,0.0,0,8,8,33,schedule_gap,False
T019,B12,S03,Central Hospital,3,12,13.3,21,7,32,60,54.4,72,17.6,18,28,46,79,boarding,False
T019,B12,S04,University Gate,4,18,19.7,18,10,40,60,50.2,65,14.8,15,10,25,104,boarding,False
T019,B12,S05,Civic Center,5,24,26.5,6,7,39,60,33.4,51,17.6,18,27,45,149,traffic,False
T020,B12,S01,North Station,1,0,0.4,2,2,0,60,27.8,50,22.2,23,0,23,23,schedule_gap,False
T020,B12,S02,Market Street,2,6,6.6,17,5,12,60,48.8,59,10.2,11,0,11,34,boarding,False
T020,B12,S03,Central Hospital,3,12,12.7,16,7,21,60,47.4,47,0.0,0,10,10,44,schedule_gap,False
T020,B12,S04,University Gate,4,18,19.6,18,9,30,60,50.2,89,38.8,39,16,55,99,boarding,False
T020,B12,S05,Civic Center,5,24,25.9,8,8,30,60,36.2,36,0.0,0,16,16,115,schedule_gap,False
T021,B12,S01,North Station,1,0,0.2,11,4,7,60,40.4,40,0.0,0,13,13,13,schedule_gap,False
T021,B12,S02,Market Street,2,6,6.9,16,6,17,60,47.4,73,25.6,26,18,44,57,schedule_gap,False
T021,B12,S03,Central Hospital,3,12,13.4,18,8,27,60,50.2,51,0.8,1,28,29,86,boarding,False
T021,B12,S04,University Gate,4,18,20.3,17,7,37,60,48.8,85,36.2,37,16,53,139,schedule_gap,False
T021,B12,S05,Civic Center,5,24,26.5,6,10,33,60,33.4,43,9.6,10,0,10,149,schedule_gap,False
T022,B12,S01,North Station,1,0,0.5,10,3,7,60,39.0,52,13.0,13,15,28,28,schedule_gap,False
T022,B12,S02,Market Street,2,6,7.3,11,2,16,60,40.4,58,17.6,18,33,51,79,boarding,False
T022,B12,S03,Central Hospital,3,12,14.1,24,8,32,60,58.6,98,39.4,40,9,49,128,traffic,False
T022,B12,S04,University Gate,4,18,20.9,19,6,45,60,51.6,80,28.4,29,16,45,173,schedule_gap,False
T022,B12,S05,Civic Center,5,24,27.1,13,7,51,60,43.2,46,2.8,3,10,13,186,schedule_gap,False
T023,B12,S01,North Station,1,0,0.1,6,3,3,60,33.4,40,6.6,7,0,7,7,schedule_gap,False
T023,B12,S02,Market Street,2,6,6.4,22,8,17,60,55.8,66,10.2,11,4,15,22,schedule_gap,False
T023,B12,S03,Central Hospital,3,12,13.0,18,7,28,60,50.2,55,4.8,5,34,39,61,boarding,False
T023,B12,S04,University Gate,4,18,19.0,26,10,44,60,61.4,61,0.0,0,0,0,61,schedule_gap,False
T023,B12,S05,Civic Center,5,24,25.6,4,9,39,60,30.6,50,19.4,20,12,32,93,schedule_gap,False
T024,B12,S01,North Station,1,0,0.4,3,3,0,60,29.2,29,0.0,0,22,22,22,schedule_gap,False
T024,B12,S02,Market Street,2,6,7.7,18,1,17,60,50.2,104,53.8,54,27,81,103,boarding,False
T024,B12,S03,Central Hospital,3,12,14.4,16,6,27,60,47.4,74,26.6,27,16,43,146,boarding,False
T024,B12,S04,University Gate,4,18,20.8,19,8,38,60,51.6,68,16.4,17,4,21,167,schedule_gap,False
T024,B12,S05,Civic Center,5,24,27.9,9,6,41,60,37.6,90,52.4,53,16,69,236,schedule_gap,False
T025,B12,S01,North Station,1,0,0.1,7,1,6,60,34.8,39,4.2,5,0,5,5,boarding,False
T025,B12,S02,Market Street,2,6,6.7,6,5,7,60,33.4,52,18.6,19,19,38,43,schedule_gap,False
T025,B12,S03,Central Hospital,3,12,13.0,20,8,19,60,53.0,53,0.0,0,17,17,60,traffic,False
T025,B12,S04,University Gate,4,18,19.3,17,5,31,60,48.8,59,10.2,11,5,16,76,boarding,False
T025,B12,S05,Civic Center,5,24,26.2,11,8,34,60,40.4,69,28.6,29,25,54,130,boarding,False
T026,B12,S01,North Station,1,0,0.3,9,5,4,60,37.6,37,0.0,0,16,16,16,schedule_gap,False
T026,B12,S02,Market Street,2,6,6.9,10,4,10,60,39.0,57,18.0,18,19,37,53,schedule_gap,False
T026,B12,S03,Central Hospital,3,12,13.3,22,6,26,60,55.8,66,10.2,11,12,23,76,boarding,False
T026,B12,S04,University Gate,4,18,20.5,12,5,33,60,41.8,81,39.2,40,32,72,148,schedule_gap,False
T026,B12,S05,Civic Center,5,24,26.8,13,6,40,60,43.2,43,0.0,0,17,17,165,traffic,False
T027,B12,S01,North Station,1,0,0.3,17,5,12,60,48.8,48,0.0,0,18,18,18,boarding,False
T027,B12,S02,Market Street,2,6,7.1,19,6,25,60,51.6,83,31.4,32,17,49,67,traffic,False
T027,B12,S03,Central Hospital,3,12,14.6,17,12,30,60,48.8,110,61.2,62,28,90,157,boarding,False
T027,B12,S04,University Gate,4,18,20.8,18,5,43,60,50.2,50,0.0,0,13,13,170,traffic,False
T027,B12,S05,Civic Center,5,24,27.3,17,3,57,60,48.8,48,0.0,0,30,30,200,traffic,False
T028,B12,S01,North Station,1,0,0.5,7,0,7,60,34.8,40,5.2,6,22,28,28,schedule_gap,False
T028,B12,S02,Market Street,2,6,6.8,15,6,16,60,46.0,54,8.0,8,15,23,51,schedule_gap,False
T028,B12,S03,Central Hospital,3,12,14.0,19,5,30,60,51.6,87,35.4,36,33,69,120,boarding,False
T028,B12,S04,University Gate,4,18,20.8,12,7,35,60,41.8,84,42.2,43,5,48,168,schedule_gap,False
T028,B12,S05,Civic Center,5,24,27.1,5,4,36,60,32.0,32,0.0,0,21,21,189,schedule_gap,False
T029,B12,S01,North Station,1,0,0.5,14,1,13,60,44.6,57,12.4,13,18,31,31,schedule_gap,False
T029,B12,S02,Market Street,2,6,7.0,13,2,24,60,43.2,50,6.8,7,21,28,59,boarding,False
T029,B12,S03,Central Hospital,3,12,13.2,19,1,42,60,51.6,51,0.0,0,14,14,73,traffic,False
T029,B12,S04,University Gate,4,18,19.8,22,7,57,60,55.8,64,8.2,9,23,32,105,boarding,False
T029,B12,S05,Civic Center,5,24,25.8,17,7,60,60,48.8,48,0.0,0,1,1,106,boarding,False
T030,B12,S01,North Station,1,0,0.9,6,2,4,60,33.4,68,34.6,35,20,55,55,schedule_gap,False
T030,B12,S02,Market Street,2,6,7.9,8,1,11,60,36.2,68,31.8,32,29,61,116,traffic,False
T030,B12,S03,Central Hospital,3,12,14.6,20,6,25,60,53.0,71,18.0,18,23,41,157,boarding,False
T030,B12,S04,University Gate,4,18,20.8,20,5,40,60,53.0,59,6.0,6,5,11,168,schedule_gap,False
T030,B12,S05,Civic Center,5,24,27.1,11,5,46,60,40.4,40,0.0,0,17,17,185,schedule_gap,False
T031,B12,S01,North Station,1,0,0.2,11,3,8,60,40.4,40,0.0,0,11,11,11,traffic,False
T031,B12,S02,Market Street,2,6,6.8,10,4,14,60,39.0,53,14.0,14,25,39,50,schedule_gap,False
T031,B12,S03,Central Hospital,3,12,14.2,17,3,28,60,48.8,101,52.2,53,29,82,132,traffic,False
T031,B12,S04,University Gate,4,18,21.7,12,8,32,60,41.8,92,50.2,51,37,88,220,schedule_gap,False
T031,B12,S05,Civic Center,5,24,27.8,10,9,33,60,39.0,39,0.0,0,10,10,230,schedule_gap,False
T032,B12,S01,North Station,1,0,0.3,16,3,13,60,47.4,47,0.0,0,16,16,16,boarding,False
T032,B12,S02,Market Street,2,6,6.5,7,5,15,60,34.8,34,0.0,0,14,14,30,schedule_gap,False
T032,B12,S03,Central Hospital,3,12,12.8,24,5,34,60,58.6,65,6.4,7,11,18,48,traffic,False
T032,B12,S04,University Gate,4,18,19.3,9,6,37,60,37.6,60,22.4,23,7,30,78,schedule_gap,False
T032,B12,S05,Civic Center,5,24,25.5,1,10,28,60,26.4,26,0.0,0,13,13,91,schedule_gap,False
T033,B12,S01,North Station,1,0,0.8,6,6,0,60,33.4,65,31.6,32,14,46,46,boarding,False
T033,B12,S02,Market Street,2,6,6.9,10,4,6,60,39.0,39,0.0,0,10,10,56,boarding,False
T033,B12,S03,Central Hospital,3,12,13.3,20,7,19,60,53.0,73,20.0,20,0,20,76,boarding,False
T033,B12,S04,University Gate,4,18,19.5,18,6,31,60,50.2,66,15.8,16,0,16,92,boarding,False
T033,B12,S05,Civic Center,5,24,26.0,5,9,27,60,32.0,61,29.0,29,0,29,121,schedule_gap,False
T034,B12,S01,North Station,1,0,0.0,12,4,8,60,41.8,41,0.0,0,1,1,1,schedule_gap,False
T034,B12,S02,Market Street,2,6,6.3,9,5,12,60,37.6,37,0.0,0,20,20,21,schedule_gap,False
T034,B12,S03,Central Hospital,3,12,12.7,20,5,27,60,53.0,53,0.0,0,21,21,42,boarding,False
T034,B12,S04,University Gate,4,18,19.5,15,4,38,60,46.0,92,46.0,46,0,46,88,boarding,False
T034,B12,S05,Civic Center,5,24,25.5,7,9,36,60,34.8,34,0.0,0,0,0,88,schedule_gap,False
T035,B12,S01,North Station,1,0,0.0,9,4,5,60,37.6,37,0.0,0,0,0,0,schedule_gap,False
T035,B12,S02,Market Street,2,6,6.9,13,2,16,60,43.2,73,29.8,30,24,54,54,schedule_gap,False
T035,B12,S03,Central Hospital,3,12,13.6,16,7,25,60,47.4,74,26.6,27,12,39,93,schedule_gap,False
T035,B12,S04,University Gate,4,18,20.4,16,8,33,60,47.4,74,26.6,27,26,53,146,schedule_gap,False
T035,B12,S05,Civic Center,5,24,27.5,10,6,37,60,39.0,79,40.0,40,26,66,212,schedule_gap,False
T036,B12,S01,North Station,1,0,0.7,8,8,0,60,36.2,52,15.8,16,25,41,41,schedule_gap,False
T036,B12,S02,Market Street,2,6,7.1,13,5,8,60,43.2,71,27.8,28,0,28,69,boarding,False
T036,B12,S03,Central Hospital,3,12,13.9,24,7,25,60,58.6,72,13.4,14,28,42,111,traffic,False
T036,B12,S04,University Gate,4,18,20.6,15,7,33,60,46.0,81,35.0,35,8,43,154,traffic,False
T036,B12,S05,Civic Center,5,24,26.7,7,8,32,60,34.8,34,0.0,0,8,8,162,traffic,False
